nodeA,nodeB,weight
kingswood,tommen,1
cersei,kingswood,1
find,tyrion,1
joffrey,tywin,10
loras,margaery,6
crowd,margaery,2
margaery,margaery,4
littlefinger,varys,4
brienne,tullys,2
jaime,man,1
stannis,tywin,1
ned,winterfell,1
greyjoy,theon,2
hidden,luwin,1
jon,theon,4
luwin,theon,1
ironborn,theon,6
aggar,theon,1
black,theon,1
seagard,theon,1
aggar,black,1
aggar,ironborn,1
aggar,seagard,1
black,ironborn,1
black,seagard,1
ironborn,seagard,1
mandon,varys,1
get,tyrion,1
leave,shae,1
jaqen,joffrey,1
cersei,jaqen,1
hound,jaqen,1
jaqen,valar,2
arya,valar,2
north,osha,1
dolorous,gilly,1
crow,man,1
boy,crow,1
crow,girl,1
mance,ned,1
mance,snow,1
mance,tormund,3
mouth,whore,1
podrick,ser,1
davos,westeros,6
davos,stannis,1
davos,salladhor,1
kingslayer,roose,1
dorne,sansa,3
dorne,dorne,1
dorne,shae,2
baelish,sansa,15
joffrey,margaery,8
cersei,flea,2
flea,joffrey,1
kraznys,westerner,1
kraznys,missandei,8
jorah,kingsguard,2
kingsguard,robert,2
barristan,robert,4
barristan,daenerys,9
bolton,talisa,1
ironborn,robb,2
bolton,ironborn,3
bolton,bran,1
bolton,rickon,1
bran,ironborn,1
ironborn,rickon,2
jaime,winterfell,1
jaime,loras,1
cersei,tyrell,6
cersei,margaery,11
margaery,tyrell,2
littlefinger,sansa,3
lady,loras,4
hando,sansa,1
margaery,olenna,3
lady,olenna,1
grandmother,margaery,10
olenna,robert,1
olenna,sansa,2
luthor,olenna,4
joff-king,sansa,1
olenna,tyrell,3
olenna,speak,1
dorne,rickard,1
catelyn,maester,1
mance,orell,1
grenn,sam,2
jojen,jojen,1
jojen,meera,2
brandon,jojen,2
brandon,meera,3
gendry,jaqen,1
gendry,joffrey,1
thoros,thoros,2
anguy,thoros,2
thoros,westeros,2
baelish,shae,1
baelish,tyrion,1
ros,tyrion,1
sansa,tyrion,6
torturer,winterfell,2
osha,rickon,1
bran,howland,1
gendry,mott,1
hound,thoros,2
clegane,thoros,4
sandor,thoros,5
sandor,stark,2
kingslayer,locke,5
edmure,willem,1
edmure,martyn,1
martyn,willem,1
martyn,robb,1
brynden,martyn,1
robb,varys,1
hoster,varys,1
roose,varys,1
hoster,robb,1
robb,roose,2
hoster,stark,1
hoster,roose,1
roose,stark,4
baelish,pycelle,1
pycelle,vale,1
baelish,vale,3
lysa,tywin,1
summer,tyrion,1
brienne,jaime,7
ned,thoros,1
hot,told,1
hot,stark,1
stark,told,1
catelyn,uncle,2
martyn,martyn,1
martyn,talisa,1
mance,take,1
tether,woman,1
push,woman,1
barristan,jorah,2
greizhen,missandei,1
dothraki,kraznys,2
dothraki,missandei,4
daenerys,kraznys,2
genna,tyrion,1
tyrion,volantis,3
meereenese,tyrion,1
meereenese,volantis,1
catelyn,locke,1
jaime,westeros,3
proof,varys,1
craster,rast,1
sansa,varys,3
littlefinger,littlefinger,1
beric,joffrey,1
beric,ned,2
beric,robert,1
ned,sandor,1
king,sandor,1
king,ned,1
beric,lannister,1
beric,stark,1
lannister,stark,2
anguy,mummer,1
mummer,sandor,1
aegon,thoros,1
clegane,sandor,1
joffrey,sandor,3
arya,burn,1
orell,tormund,1
orell,ygritte,1
beric,sandor,1
bolton,locke,2
bolton,kingslayer,1
locke,roose,1
bolton,jaime,4
roose,stannis,1
roose,ser,1
olenna,volantis,1
catelyn,karstarks,1
edmure,karstarks,1
joffrey,rickard,1
rickard,stark,1
kneel,robb,1
rickard,robb,1
karhold,robb,1
karhold,rickard,1
arya,ilyn,3
arya,ser,3
ilyn,joffrey,3
cersei,ilyn,3
ilyn,ser,1
hound,ilyn,1
beric,thoros,2
burn,selyse,1
jaime,renly,1
flea,jaime,1
flea,robert,1
flea,the,1
brienne,stark,2
bert,shireen,1
bert,davos,1
shireen,westeros,1
barristan,mm,2
jorah,thoros,3
barristan,thoros,1
barristan,bloody,1
bloody,thoros,1
robert,thoros,1
bloody,robert,1
missandei,red,1
black,missandei,1
black,red,1
grey,grey,1
barristan,ser,1
karstarks,robb,2
attack,robb,1
greyjoys,talisa,1
talisa,winterfell,1
robb,walder,4
karstarks,walder,1
loras,squire,1
petyr,sansa,9
olenna,tyrion,1
sansa,tywin,5
karstarks,tywin,1
theon,tywin,1
tywin,winterfell,2
karstarks,theon,1
karstarks,sansa,2
karstarks,winterfell,1
sansa,theon,3
tyrell,tyrion,2
loras,tywin,5
hobb,sam,1
lady,osha,1
jojen,jon,2
nah,ygritte,1
r'hollor,thoros,1
melisandre,thoros,1
melisandre,turn,1
anguy,bodkin,1
