nodeA,nodeB,weight
Loras Tyrell,renly baratheon,1
renly baratheon,the Knight of the,1
Loras Tyrell,the Knight of the,1
Robert,loras tyrell,1
Joffrey,loras tyrell,1
Joffrey,Robert,7
Ned Stark,cersei lannister,5
Dothraki,cersei lannister,7
Viserys Targaryen,robert baratheon,2
Dothraki,Viserys Targaryen,4
Viserys Targaryen,Viserys Targaryen,1
Dothraki,Dothraki,6
Ned Stark,robert baratheon,1
Lyanna Stark's,cersei lannister,1
Robert,petyr baelish,2
Lannister,petyr baelish,3
Threaten,jaime lannister,1
Starks,jaime lannister,2
Starks,Threaten,1
Hand -,eddard stark,1
Catelyn,robert baratheon,1
Jaime Lannister,eddard stark,1
Dancer,bran stark,1
Kingslayer,theon greyjoy,1
Brandon Stark,bran stark,5
Winterfell,bran stark,1
Brandon Stark,Winterfell,1
Benjen Stark's,osha,1
Mance,osha,1
Benjen Stark's,Mance,1
Dorne,wildling,1
Bran,theon greyjoy,3
Turnkey,tyrion lannister,1
Lady Arryn,tyrion lannister,1
Lady Arryn,Lannister,1
Speak,lysa arryn,1
Imp,lysa arryn,1
Imp,Speak,1
Bran,Jon Arryn,1
Robin,tyrion lannister,1
